External Shade Option,Glass Option,Internal Shade Option,Pane Option,Direction,10,15,20,25,30,35
"External Shade Screen, Shading Coefficient 0.15",Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,16,17,18,19,20,21
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,N,16,20,24,28,32,36
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,NE/NW,19,23,27,31,35,39
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,E/W,22,26,30,34,38,42
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,SE/SW,21,25,29,33,37,41
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,S,18,22,26,30,34,38
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,15,17,19,21,23,25
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,17,19,21,23,25,27
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,16,18,20,22,24,26
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,13,15,17,19,21,23
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,9,10,11,12,13,14
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,11,12,13,14,15,16
"External Shade Screen, Shading Coefficient 0.15",Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,12,13,14,15,16,17
